queue_id,candidate_id,title,authors,year,venue,doi,url,topic,reason,requested_action,status,added_at
2bf68dc34123,9f134799bbdb,Use of LoRa for UAV Remote ID with Multi-User Interference and Different Spreading Factors,Omkar Mujumdar; Haluk Celebi; İsmail Güvenç; Mihail L. Sichitiu; Sunghyun Hwang; Kyu‐Min Kang,2021,,10.1109/vtc2021-spring51267.2021.9448804,https://openalex.org/W3170762244,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T03:32:05+00:00
dc767981b3a9,9ba3bad4e234,Experiments with a LoRaWAN-Based Remote ID System for Locating Unmanned Aerial Vehicles (UAVs),Ali Ghubaish; Tara Salman; Raj Jain,2019,Wireless Communications and Mobile Computing,10.1155/2019/9060121,https://openalex.org/W2981262669,remote_id_broadcast_capacity,Open PDF URL was found but automatic download failed: HTTP Error 403: Forbidden,User should download legally in a browser if access is available.,pending,2026-05-28T03:33:57+00:00
91ac6f01dc5f,3fa0c3615f9b,Reducing safe UAV separation distances with U2U communication and new Remote ID formats,Evgenii Vinogradov; Sofie Pollin,2022,2022 IEEE Globecom Workshops (GC Wkshps),10.1109/gcwkshps56602.2022.10008607,https://openalex.org/W4315777630,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:05+00:00
f84b7188272e,ce1c447e4bc5,A Survey and Categorization of Small Low-Cost Unmanned Aerial Vehicle System Identification,Nathan V. Hoffer; Calvin Coopmans; Austin M. Jensen; YangQuan Chen,2013,Journal of Intelligent & Robotic Systems,10.1007/s10846-013-9931-6,https://openalex.org/W1993861190,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:05+00:00
b5a7d85f441f,66b3465ba931,Drone Remote Identification Protocol (DRIP) Architecture,Stuart W. Card; Adam Wiethuechter; Robert Moskowitz; Andrei Gurtov,2023,,10.17487/rfc9434,https://openalex.org/W3013065645,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:07+00:00
13831c656307,dc37033c3d5d,Drone Remote Identification Protocol (DRIP) Requirements and Terminology,Adam Wiethuechter; Robert Moskowitz; Andrei Gurtov,2022,,10.17487/rfc9153,https://openalex.org/W4211066797,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:07+00:00
2527dc3f8844,efd96ad8adb4,Drone Remote Identification Protocol (DRIP) Requirements,Adam Wiethuechter; Stuart W. Card; Andrei Gurtov; Robert Moskowitz,2020,,,https://openalex.org/W3012690361,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:07+00:00
234b1ef025ca,c0b3d8a260bb,Formal Verification and Security Assessment of the Drone Remote Identification Protocol,Suleman Khan; Gurjot Singh Gaba; Felipe Boeira; Andrei Gurtov,2024,,10.1109/uvs59630.2024.10467159,https://openalex.org/W4392982001,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:07+00:00
1d3575667cfd,4ed08320e159,Survey on Worldwide Implementation of Remote Identification and Discussion on Drone Identification in China,Zihe He; Tian Wen Tan,2021,2021 IEEE 3rd International Conference on Civil Aviation Safety and Information Technology (ICCASIT),10.1109/iccasit53235.2021.9633559,https://openalex.org/W4200244287,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:07+00:00
2a95fbbdd287,c97908257d70,A Low-Power Remote Identification Module for Drones,Sondos Alshamsi; Mariam Yousif Alhashmi; Kais Belwafi; Abdulhadi Shoufan,2023,,10.1109/iscas46773.2023.10181592,https://openalex.org/W4385080164,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:07+00:00
5f3e35031811,a35f5684e433,Detect and Avoid (DAA) with Broadcast Remote ID (RID),Aashay S. Shah; Wentao Chen; Jun Ho; Samuel Jawhar; Tiantian Lu; Mengjie Xie; Pengfei Yan; Peter J. Burke,2026,IEEE Aerospace and Electronic Systems Magazine,10.1109/maes.2026.3668143,https://openalex.org/W7131452642,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:12+00:00
