candidate_id,title,authors,year,venue,doi,url,pdf_url,topic,source,source_type,venue_tier,source_trust,query,category,relevance_reason,practical_relevance,practical_evidence_needed,reading_status,access_status,metadata_confidence,added_at
9f134799bbdb,Use of LoRa for UAV Remote ID with Multi-User Interference and Different Spreading Factors,Omkar Mujumdar; Haluk Celebi; İsmail Güvenç; Mihail L. Sichitiu; Sunghyun Hwang; Kyu‐Min Kang,2021,,10.1109/vtc2021-spring51267.2021.9448804,https://openalex.org/W3170762244,,remote_id_broadcast_capacity,openalex,academic_paper,unknown,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,needs_user_pdf,medium,2026-05-28T03:32:05+00:00
9ba3bad4e234,Experiments with a LoRaWAN-Based Remote ID System for Locating Unmanned Aerial Vehicles (UAVs),Ali Ghubaish; Tara Salman; Raj Jain,2019,Wireless Communications and Mobile Computing,10.1155/2019/9060121,https://openalex.org/W2981262669,https://downloads.hindawi.com/journals/wcmc/2019/9060121.pdf,remote_id_broadcast_capacity,openalex,academic_paper,medium,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,open,medium,2026-05-28T03:32:05+00:00
3fa0c3615f9b,Reducing safe UAV separation distances with U2U communication and new Remote ID formats,Evgenii Vinogradov; Sofie Pollin,2022,2022 IEEE Globecom Workshops (GC Wkshps),10.1109/gcwkshps56602.2022.10008607,https://openalex.org/W4315777630,,remote_id_broadcast_capacity,openalex,academic_paper,unknown,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,needs_user_pdf,medium,2026-05-28T08:30:22+00:00
ce1c447e4bc5,A Survey and Categorization of Small Low-Cost Unmanned Aerial Vehicle System Identification,Nathan V. Hoffer; Calvin Coopmans; Austin M. Jensen; YangQuan Chen,2013,Journal of Intelligent & Robotic Systems,10.1007/s10846-013-9931-6,https://openalex.org/W1993861190,,remote_id_broadcast_capacity,openalex,academic_paper,medium,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,needs_user_pdf,medium,2026-05-28T08:30:22+00:00
160dce2f70ed,"Privacy-Aware Remote Identification for Unmanned Aerial Vehicles: Current Solutions, Potential Threats, and Future Directions",Pietro Tedeschi; Fatima Ali Al Nuaimi; Ali Ismail Awad; Enrico Natalizio,2023,IEEE Transactions on Industrial Informatics,10.1109/tii.2023.3280325,https://openalex.org/W4379471682,https://ieeexplore.ieee.org/ielx7/9424/4389054/10143727.pdf,remote_id_broadcast_capacity,openalex,academic_paper,top,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,open,medium,2026-05-28T08:30:22+00:00
a62388c8c68f,Joint Power Allocation and Placement Scheme for UAV-Assisted IoT With QoS Guarantee,Ruirui Chen; Yanjing Sun; Liping Liang; Wenchi Cheng,2021,IEEE Transactions on Vehicular Technology,10.1109/tvt.2021.3129880,https://openalex.org/W3216897679,https://arxiv.org/pdf/2407.21470,remote_id_broadcast_capacity,openalex,academic_paper,top,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,open,medium,2026-05-28T08:30:22+00:00
9cfa1a7c0f0b,UAV Forensics: DJI Mini 2 Case Study,Miloš Stanković; Mohammad Meraj Mirza; Ümit Karabiyik,2021,Drones,10.3390/drones5020049,https://openalex.org/W3172461787,https://www.mdpi.com/2504-446X/5/2/49/pdf?version=1622617205,remote_id_broadcast_capacity,openalex,academic_paper,medium,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,open,medium,2026-05-28T08:30:22+00:00
a5a299adbe1a,Significant Remote Sensing Vegetation Indices: A Review of Developments and Applications,Jinru Xue; Baofeng Su,2017,Journal of Sensors,10.1155/2017/1353691,https://openalex.org/W2617056706,http://downloads.hindawi.com/journals/js/2017/1353691.pdf,remote_id_broadcast_capacity,openalex,academic_paper,medium,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,open,medium,2026-05-28T08:30:22+00:00
856e6f146529,Integrated Sensing and Communications: Toward Dual-Functional Wireless Networks for 6G and Beyond,Fan Liu; Yuanhao Cui; Christos Masouros; Jie Xu; Tony Xiao Han; Yonina C. Eldar; Stefano Buzzi,2022,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2022.3156632,https://openalex.org/W3194620979,https://ieeexplore.ieee.org/ielx7/49/9776000/09737357.pdf,remote_id_broadcast_capacity,openalex,academic_paper,top,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,open,medium,2026-05-28T08:30:22+00:00
af0892e03720,An UAV scheduling and planning method for post-disaster survey,G. Q. Li; Xiaoguang Zhou; Jian Yin; Qizhen Xiao,2014,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",10.5194/isprsarchives-xl-2-169-2014,https://openalex.org/W2058743584,https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XL-2/169/2014/isprsarchives-XL-2-169-2014.pdf,remote_id_broadcast_capacity,openalex,academic_paper,top,medium,UAV Remote ID,,,medium,verify parameters from practical sources,metadata only,open,medium,2026-05-28T08:30:22+00:00
